no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
18,3.67,3.33,2.67,3.17,3,3.57,2.43,2.67,3.67,3,2.5,3.17,3,2.5,2.5,2.83
19,2.17,1.83,3.17,3.17,3.14,3.14,1.83,2.33,2.5,3,2.17,1.83,2,2.67,3.33,3.33
20,2.33,2.17,1.83,2.5,2.57,2.57,2,2.67,2.17,2.83,2,1.83,2.17,2.17,1.67,2.5
21,3,3.33,3.67,3.67,3.43,3.17,3,3.33,3.17,3.5,3.17,3.5,3.5,3,3,3.5
22,2.17,2.83,3.33,2.83,3.29,2.86,2.43,2.5,2.17,2.67,2.67,1.83,2.17,2.67,3.17,3.33
23,2.5,2.33,3,2.83,3.43,3.14,2.5,3.33,3,2.33,2.83,2.5,2.5,2.83,2.83,3.5
24,2.33,2,2.8,1.83,2.71,2.86,2.43,2.5,2.5,2.17,2.33,1.83,1.83,2.17,2.17,2.17
25,2.83,1.67,2,1.83,2.57,2.86,2.29,2.5,2.83,2.5,2.67,1.83,2,2.33,2.17,2.67
26,3.67,3.5,2.83,3.67,3.14,3.43,3.43,3,3.67,3.33,3,3.5,3.33,3,3.17,3.4
27,2.33,2,3.33,3.17,2.57,2.86,2.29,2.33,2.33,2.33,2.33,2.5,2.83,2.5,2.83,2.83
28,3,3.33,2.83,3.33,3.29,3.14,3.83,2.83,3.33,3.17,3,3,3,2.67,3.17,3.17
29,2.33,3.17,3.5,3.5,3.14,2.57,2.33,3.17,2.67,3,2.5,3.17,3.33,3.17,2.5,3.17